原形	所属形（短形）	所属形（長形）	意味
aep	aepi		食
aep	epi	epihi	食
ak	aki	akihi	弟
am	ami	amihi	爪
amip	mipi	mipihi	服
amunin	amunini	amuninihi	腕
ancikar	ancikari	ancikarihi	夜
asam	asama	asamaha	底
askepet	askepeci	askepecihi	指
askekursut	askekursutu	askekursutuhu	指の付け根
asur	asuru	asuruhu	噂
at	atu	atuhu	紐
atay	ataye	atayehe	値打ち
atkoci	atkocike		尾びれ
atpa	atpake	atpakehe	始め
atupok	atupoki	atupokihi	脇の下
ay	aye	ayehe	矢
car	caro	caroho	口
cikas	cikasi	cikasihi	心張り棒
cikir	cikiri	cikirihi	足
cipuy	cipuye	cipuyehe	陰茎の穴・女性器の陰門
ciyay	ciyaye	ciyayehe	栓
corpok	corpokike	corpokikehe	下
corpok	corpokke	corpokkehe	下
cup	cupi	cupihi	女の腹
cupkes	cupkesi	cupkesihi	女の下腹
eepak	eepaki	eepakihi	次
eepak	eepakke	eepakkehe	次
ekas	ekasi	ekasihi	祖父
enka	enkasi	enkasike	上の方
enka	enkasike	enkasikehe	上の方
enkip	enkipi	enkipihi	陰部
ep	epi	epihi	餌
epuy	epuyke	epuykehe	実
etok	etoko	etokoho	先
etor	etori	etorihi	鼻糞
etu	etu	etuhu	鼻
etuikkew	etuikkewe	etuikkewehe	鼻筋
etupsik	etupsike		先端
etupuy	etupuyke		鼻孔
eturus	eturusi	eturusihi	鼻面
ham	hamu	hamuhu	葉
hankapuy	hankapuye	hankapuyehe	臍
hanku	hanku	hankuhu	臍
harkisam	harkisama		左側
harkitek	harkiteke	harkitekehe	左手
haruramat	haruramatu	haruramatuhu	食糧の魂
haw	hawe	hawehe	声
heserekut	heserekuci	heserekucihi	気管
hon	honi	honihi	腹
honkes	honkese	honkesehe	下腹
hontom	hontomo	hontomoho	途中
hum	humi	humihi	音
hunakor	hunakoro		何処
hurkap	hurkapu	hurkapuhu	動物の死骸
ikir	ikiri	ikirihi	集まり
ikkew	ikkewe	ikkewehe	腰
ikusakanram	ikusakanrami	ikusakanramihi	悪い酒癖
ikuynimak	ikuynimaki	ikuynimakihi	奥歯
imak	imaki	imakihi	歯
imak	imakake	imakakehe	向こう
inawsantek	inawsanteke	inawsantekehe	木幣を捧げる子孫
inay	inaye	inayehe	尻の割れ目
ipe	ipe	ipehe	食
iperekut	iperekuci	iperekucihi	食道
ipor	iporo	iporoho	顔色
irwak	irwaki	irwakihi	兄弟姉妹
ka	ka	kaha	糸
ka	kasi	kasihi	上
ka	kasike	kasikehe	上
ka	kaske	kaskehe	上
kam	kami	kamihi	肉
kamka	kamkasi	kamkasike	肌
kankap	kankapu	kankapuhu	表皮
kannanotkew	kannanotkewe	kannanotkewehe	上顎
kannapatoy	kannapatoye	kannapatoyehe	上唇
kanpar	kanparo	kanparoho	口先
kap	kapu	kapuhu	皮
kaparkam	kaparkami	kaparkamihi	肋膜
karku	karku	karkuhu	甥
kaskamuy	kaskamuye		憑神
kat	katu	katuhu	恰好
katcam	katcama		気配
katuyemimak	katuyemimaki	katuyemimakihi	犬歯
kem	kemi	kemihi	血
kem	kemi	kemihi	飢饉
kemorit	kemorici	kemoricihi	血管
kema	kema	kemaha	脚
kepuspe	kepuspe	kepuspehe	鞘
ker	keri	kerihi	靴
kesup	kesupi	kesupihi	踵
kesupasam	kesupasama	kesupasamaha	踵裏
kew	kewe	kewehe	体
kewsut	kewsutu	kewsutuhu	おじ
kewtum	kewtumu	kewtumuhu	心
kik	kiki		守り
kim	kimke	kimkehe	山
kinop	kinopi	kinopihi	肝臓・腎臓
kip	kipi	kipihi	髪の生え際
kiraw	kirawe	kirawehe	角
kirkew	kirkewe	kirkewehe	足の骨
kiror	kiroro	kiroroho	大力
kisanrap	kisanrapu	kisanrapuhu	耳朶
kisanrit	kisanritu	kisanrituhu	耳筋
kisar	kisara	kisaraha	耳
kisarpuy	kisarpuyke	kisarpuykehe	耳孔
kisattur	kisatturi	kisatturihi	耳垢
kitay	kitayke	kitaykehe	頂上
kiyutur	kiyuturu	kiyuturuhu	網目
ko	ko	koho	粉
kokkasapa	kokkasapa	kokkasapaha	膝
kokow	kokowe	kokowehe	婿
kosmat	kosmaci	kosmacihi	嫁
kot	koci	kocihi	窪み
kotan	kotanu	kotanuhu	村
kotca	kotcake	kotcakehe	前
kotkarku	kotkarku	kotkarkuhu	姪
kotor	kotoro	kotoroho	面
kotpar	kotparu	kotparuhu	喉元
kotpok	kotpoki	kotpokke	直前
koyka	koykasi	koykasike	東の方
koyka	koykaske	koykaskehe	東の方
koypok		koypokke	西の方
ku	ku	kuhu	弓
ku	ku	kuwehe	アマッポ
kukew	kukewe	kukewehe	鎖骨
kunnesiknum	kunnesiknumi	kunnesiknumihi	黒目
kur	kuri	kurihi	影
kura	kura	kuraha	鞍
kurka	kurkasi	kurkasike	上面一帯
kurka	kurkasike	kurkasikehe	上面一帯
kursut	kursutu	kursutuhu	根元
kut	kuci	kucihi	帯
kutcam	kutcama		声音
kuttom	kuttomo	kuttomoho	喉
kuwa	kuwa	kuwaha	杖・墓標
mak	makke		奥
mat	maci	macihi	女
matak	mataki	matakihi	妹（姉から見た）
matapa	matapa	matapaha	妹（兄から見た）
matkarku	matkarku	matkarkuhu	姪
matnepo	matnepo	matnepoho	娘
maw	mawe	mawehe	息吹
mawka	mawkasi	mawkaske	風上
may	maye	mayehe	響き
mecip	mecipi	mecipihi	盆の窪
merit	merici	mericihi	首筋
mesas	mesasi	mesasihi	鬣
mim	mimi	mimihi	魚肉
mimak	mimaki	mimakihi	歯
mimakutur	mimakuturu	mimakuturuhu	歯の間
mippo	mippo	mippoho	孫
mokrap	mokrapu	mokrapuhu	胸鰭
monpok	monpoki	monpokihi	直ぐ下
montum	montumu	montumuhu	体調
mor	moru	moruhu	耳の前の毛
mur	muru	muruhu	糠
nan	nanu	nanuhu	顔
nankap	nankapu	nankapuhu	顔の皮膚
nayetok	nayetoko	nayetokoho	沢の水源
nayiwor	nayiwori		沢の中
netopa	netopake	netopakehe	胴体
niik	niiki	niikihi	切った薪
nikor	nikoro		包まれる中
nikotor	nikotoro	nikotoroho	口蓋
nimak	nimaki	nimakihi	歯
nimar	nimara	nimaraha	半数
ninkew	ninkewe	ninkewehe	背骨
nip	nipi	nipihi	柄
nipek	nipeki	nipekihi	輝き
nippo	nippo	nippoho	孫
nirus	nirusi	nirusihi	顰めっ面
nisap	nisapi	nisapihi	脛
nisikay	nisikaye	nisikayehe	木の節
nisut	nisutu	nisutuhu	歯茎
nit	nici	nicihi	柄・茎
nitek	niteke	nitekehe	枝
nítumam	nítumama	nítumamaha	幹
niyutur	niyuturke		歯の間
nok	noki	nokihi	鳥卵
nokpi	nokpiye	nokpiyehe	睾丸
non	noni	nonihi	唾
noski	noskike	noskikehe	真ん中
not	noci	nocihi	顎
notahuy	notahuye	notahuyehe	頬
notak	notaku	notakuhu	刃
notakam	notakami	notakamihi	頬
notarap	notarapu	notarapuhu	魚の頬骨
notkew	notkewe	notkewehe	下顎
notkir	notkiri	notkirihi	顎先
noyap	noyapi	noyapihi	横顔
num	numi	numihi	粒
nupe	nupe	nupehe	涙
oarsik	oarsiki	oarsikihi	片目
oatcikir	oatcikiri	oatcikirihi	片足
oattap	oattapu	oattapuhu	片肩
oattapcikir	oattapcikiri	oattapcikirihi	片方の前足
oattapsut	oattapsutu	oattapsutuhu	片肩
oattek	oattekke	oattekkehe	片手
ois	oisi	oisihi	尾羽
oka	okake	okakehe	後
okka	okkasi		上
okkew	okkewe	okkewehe	襟首
okrit	okrici	okricihi	襟筋
oksut	oksutu	oksutuhu	襟足
oksuy	oksuye	oksuyehe	襟元
om	omi	omihi	大腿
omkursut	omkursutu	omkursutuhu	腿の付け根
ona	ona	onaha	父親
onnay	onnayke	onnaykehe	内
or	oro	oroke	場所
or	orke	orkehe	場所
osmak	osmake	osmakehe	後ろ
osor	osoro	osoroho	尻
osorkam	osorkami	osorkamihi	尻べた
osorpuy	osorpuye	osorpuyehe	肛門
oske	ossike	ossikehe	中
ot	oci	ocihi	棺莚
